GAME_ID,HOME_TEAM_ID,HOME_P1,HOME_P2,HOME_P3,HOME_P4,HOME_P5,HOME_P6,HOME_P7,HOME_P8,HOME_P9
12100001,1610612747,1629659,1629134,203145,201961,1628370,1630559,201599,1630555,1630602
12100002,1610612761,1630567,1630173,1628384,1630625,1627832,1629004,1630551,1629139,201609
12100003,1610612738,1627759,1628369,1626196,203935,1630202,1629057,203471,201143,1627823
12100004,1610612748,1629639,1629130,1629622,202693,1629216,1628997,1629644,203473,1628389
12100005,1610612750,1630162,1629006,1627736,1629675,1629020,201976,1626156,1627752,1629162
12100006,1610612760,1630581,1630197,1630544,1630466,1629652,1628983,1629660,1630177,1629647
12100007,1610612759,1629640,1627749,1628401,203926,1630170,1629022,1630563,1627751,1627854
12100008,1610612757,1629642,203994,203496,1629014,203081,1626181,1626204,203463,1628372
12100009,1610612758,1630169,1628368,1630558,203084,1627741,1628963,1626158,203090,203458
12100010,1610612746,1629599,1629611,1628379,1626159,1630527,1630206,1630589,1628385,1628392
12100011,1610612752,203944,203095,1629628,1630579,1630193,201565,202689,201959,202692
12100012,1610612741,1628366,201942,203897,202696,1627936,1629750,1628993,1629744,1628972
12100013,1610612745,1629645,1630224,1626174,201569,1628464,1630256,1627863,1630231,1628021
12100014,1610612763,203937,1628991,1630217,1626145,1629630,203500,1629001,1630533,1627739
12100015,1610612765,1628367,202709,1628977,1630180,203924,1630240,203585,203482,1630191
12100016,1610612737,203476,1629629,1628989,1629631,1628381,1630552,1627789,1630536,1630219
12100017,1610612740,1630530,1630184,1629638,1630230,1628404,202685,1628984,1630529,203107
12100018,1610612742,1628973,1626161,1628425,1628467,1630182,203501,204001,1629029,1630637
12100019,1610612744,1629673,1629308,202357,203490,1626172,1627814,1628539,202340,203952
12100020,1610612756,1629013,1628969,101108,203109,1629028,1630188,1626166,1627846,201580
12100021,1610612746,1630527,1630206,1628379,1629611,1629599,202339,1630553,201587,202704
12100022,1610612766,1628970,1630547,1626179,1629667,1629023,1630163,1628998,202397,1630539
12100023,1610612755,1629003,202699,1630198,203552,1630178,1627788,203954,203083,1627777
12100024,1610612745,1630224,1629645,1626174,1628464,1627863,1630231,1630578,203957,1628021
12100025,1610612739,1630596,1629636,1629685,1629012,1630171,1628374,201937,1628386,1629731
12100026,1610612751,201935,201142,203925,1628975,201933,200746,201988,1627761,201949
12100027,1610612741,201942,203897,202696,1628366,1627936,1629750,1626169,1628993,1628972
12100028,1610612742,1630182,1630647,204001,1629029,203939,203501,1628373,203504,1627827
12100029,1610612759,1627749,1628401,1629640,1629022,203926,1629234,1627854,201152,1629677
12100030,1610612743,1630538,203999,1629008,1630267,203932,1628408,1629626,203085,203210
12100031,1610612744,201939,1629673,203110,1626172,203490,2738,1629308,202357,1627814
12100032,1610612738,1628369,203935,201143,1629057,1626196,1629641,1630202,1629684,202683
12100033,1610612764,203078,1628398,203915,1629655,1626149,203484,1630166,202722,203526
12100034,1610612763,1629634,1630583,1630533,1630214,1629723,1629633,1626145,1630582,1630217
12100035,1610612753,1628976,1630175,203914,1628964,203082,1630591,1630532,1630181,202734
12100036,1610612739,1630596,1629685,1628374,1628386,1626224,1630698,1630171,201567,201937
12100037,1610612749,1628960,1629670,1630572,201572,1629620,1626192,203114,203507,201950
12100038,1610612747,203076,201566,203145,201961,1630559,1629134,201599,2546,200765
12100039,1610612761,1630567,1629004,1630173,1629018,203920,1628384,1630201,1627832,1630688
12100040,1610612748,1629639,1629130,200768,1628389,200782,202693,1629622,1629216,1628997
12100041,1610612755,1627788,1630194,1627885,1630198,201980,1627777,203083,1630565,1630531
12100042,1610612763,1629630,1628991,203500,1629001,203937,1630217,1629634,1629723,1630214
12100043,1610612762,1628378,202711,1626220,203497,201144,204060,203903,1629672,202355
12100044,1610612757,1629014,1629604,1628372,1626204,1629833,1626188,202335,1630535,203994
12100045,1610612746,201587,1628379,1629611,1627826,202339,1630527,1630206,1629599,1626159
12100046,1610612764,1628398,203078,1629655,203915,203484,1626149,1630166,202722,1630557
12100047,1610612747,203076,201566,1630559,2544,2546,1630602,200765,203145,2730
12100048,1610612766,1629667,1628998,203486,1630547,202397,1630575,1630539,1630208,1628970
12100049,1610612754,1630537,1627734,1626167,204456,202954,1628470,203087,1630543,1629052
12100050,1610612753,1630175,1628976,1630532,1630181,1628964,201577,1629649,1630288,203914
12100051,1610612752,1629628,203944,201959,201565,203095,202692,1630193,1630167,1628995
12100052,1610612760,1630581,1629647,1628983,1629652,1629676,1630197,1630526,1630177,1630544
12100053,1610612762,1629671,203903,1630215,1629672,1630190,203497,202355,202711,1630238
12100054,1610612756,203901,1626166,1626164,1626163,1630188,1628969,1629661,1626184,1628990
12100055,1610612737,1629027,1629631,1628381,203992,1628989,203476,1629629,203524,1626153
12100056,1610612751,201142,201935,203925,1629651,200746,201988,1628975,200794,1627761
12100057,1610612760,1630598,1630197,1630581,1629660,1630177,1630466,203488,1630526,1630544
12100058,1610612758,203084,1628368,1630558,1629056,1627741,1630169,1626158,202684,203090
12100059,1610612748,1629130,200768,1628389,202710,1629639,200782,202693,1629622,203473
12100060,1610612765,203924,1628367,1630240,1630191,1628402,202709,1628977,1626168,203482
