,GAME_ID,HOME_TEAM_ID,HOME_P1,HOME_P2,HOME_P3,HOME_P4,HOME_P5,HOME_P6,HOME_P7,HOME_P8,HOME_P9,VISITOR_TEAM_ID,VISITOR_P1,VISITOR_P2,VISITOR_P3,VISITOR_P4,VISITOR_P5,VISITOR_P6,VISITOR_P7,VISITOR_P8,VISITOR_P9,DAY,WEEK,MONTH,HOME_TEAM_WINS
0,12100001,1610612747,1629659,1629134,203145,201961,1628370,1630559,201599,1630555,1630602,1610612751,1630561,1630556,1628975,1628971,1627761,1630560,200794,200746,1630549,276.0,39.0,10.0,0
1,12100002,1610612761,1630567,1630173,1628384,1630625,1627832,1629004,1630551,1629139,201609,1610612755,1630198,203083,1630194,1630178,1629680,1627777,1629003,1627788,203552,277.0,40.0,10.0,1
2,12100003,1610612738,1627759,1628369,1626196,203935,1630202,1629057,203471,201143,1627823,1610612753,203082,1629021,1630181,1630175,1628964,1628976,1630591,203914,1630532,277.0,40.0,10.0,1
3,12100004,1610612748,1629639,1629130,1629622,202693,1629216,1628997,1629644,203473,1628389,1610612737,203992,1629629,201568,1628381,1626153,1629027,203524,203476,1626143,277.0,40.0,10.0,1
4,12100005,1610612750,1630162,1629006,1627736,1629675,1629020,201976,1626156,1627752,1629162,1610612740,1630530,1627742,1628984,1629638,1629637,1628404,1630529,1630230,202066,277.0,40.0,10.0,1
5,12100006,1610612760,1630581,1630197,1630544,1630466,1629652,1628983,1629660,1630177,1629647,1610612766,1629667,1626179,1630547,1630163,1628970,1629023,1628998,202330,203486,277.0,40.0,10.0,0
6,12100007,1610612759,1629640,1627749,1628401,203926,1630170,1629022,1630563,1627751,1627854,1610612762,1630190,1628962,1630235,1628378,1629672,1630215,1626220,1630617,201144,277.0,40.0,10.0,1
7,12100008,1610612757,1629642,203994,203496,1629014,203081,1626181,1626204,203463,1628372,1610612744,1629673,1629308,201939,202357,203490,203952,202340,1626172,2738,277.0,40.0,10.0,0
8,12100009,1610612758,1630169,1628368,1630558,203084,1627741,1628963,1626158,203090,203458,1610612756,1630188,1626166,203901,1627846,1628990,1626163,1629013,1629661,1628969,277.0,40.0,10.0,1
9,12100010,1610612746,1629599,1629611,1628379,1626159,1630527,1630206,1630589,1628385,1628392,1610612743,1630538,1629008,1628408,1628420,203932,1629626,203085,1630267,1630192,277.0,40.0,10.0,1
10,12100011,1610612752,203944,203095,1629628,1630579,1630193,201565,202689,201959,202692,1610612754,1627734,1630537,1628470,204456,1626167,1627763,203200,203087,1629052,278.0,40.0,10.0,1
