model_id,estimator_name,estimator_params,test_accuracy,test_f1,cv_mean,n_features_after_preprocess,model_complexity_proxy,tool,export_status,export_error,source_path,source_size_bytes,source_size_kb,compile_status,object_size_bytes,binary_size_bytes
logreg_liblinear_c0.1,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6382428940568475,0.7211155378486056,0.7008201856112313,1605,1605,m2cgen,unsupported_or_failed,RecursionError: maximum recursion depth exceeded,,,,not_compiled_export_failed,,
logreg_liblinear_c0.1,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6382428940568475,0.7211155378486056,0.7008201856112313,1605,1605,micromlgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/logreg_liblinear_c0_1__micromlgen.h,30914.0,30.189453125,skipped_non_compilable_suffix,,
logreg_liblinear_c0.1,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6382428940568475,0.7211155378486056,0.7008201856112313,1605,1605,sklearn_porter,unsupported_or_failed,ModuleNotFoundError: No module named 'sklearn.tree.tree',,,,not_compiled_export_failed,,
logreg_liblinear_c1,LogisticRegression,"{""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6124031007751938,0.6767241379310345,0.681331319885051,1605,1605,m2cgen,unsupported_or_failed,RecursionError: maximum recursion depth exceeded,,,,not_compiled_export_failed,,
logreg_liblinear_c1,LogisticRegression,"{""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6124031007751938,0.6767241379310345,0.681331319885051,1605,1605,micromlgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/logreg_liblinear_c1__micromlgen.h,30947.0,30.2216796875,skipped_non_compilable_suffix,,
logreg_liblinear_c1,LogisticRegression,"{""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6124031007751938,0.6767241379310345,0.681331319885051,1605,1605,sklearn_porter,unsupported_or_failed,ModuleNotFoundError: No module named 'sklearn.tree.tree',,,,not_compiled_export_failed,,
logreg_liblinear_c10,LogisticRegression,"{""C"": 10.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6175710594315246,0.6796536796536796,0.6791282540940238,1605,1605,m2cgen,unsupported_or_failed,RecursionError: maximum recursion depth exceeded,,,,not_compiled_export_failed,,
logreg_liblinear_c10,LogisticRegression,"{""C"": 10.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6175710594315246,0.6796536796536796,0.6791282540940238,1605,1605,micromlgen,success,,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_122030/c_sources/logreg_liblinear_c10__micromlgen.h,30926.0,30.201171875,skipped_non_compilable_suffix,,
logreg_liblinear_c10,LogisticRegression,"{""C"": 10.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6175710594315246,0.6796536796536796,0.6791282540940238,1605,1605,sklearn_porter,unsupported_or_failed,ModuleNotFoundError: No module named 'sklearn.tree.tree',,,,not_compiled_export_failed,,
logreg_lbfgs_c0.1,LogisticRegression,"{""C"": 0.1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 0, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.6382428940568475,0.7222222222222222,0.7025112518187984,1605,1605,m2cgen,unsupported_or_failed,RecursionError: maximum recursion depth exceeded,,,,not_compiled_export_failed,,
