model_id,tool,source_path,compile_status,object_path,binary_path,object_size_bytes,binary_size_bytes,object_text_bytes,object_data_bytes,object_bss_bytes,object_total_bytes,object_size_raw,binary_text_bytes,binary_data_bytes,binary_bss_bytes,binary_total_bytes,binary_size_raw,compile_stderr,link_stderr
logreg_liblinear_c0.1,m2cgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
logreg_liblinear_c0.1,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/logreg_liblinear_c0_1__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
logreg_liblinear_c0.1,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
logreg_liblinear_c1,m2cgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
logreg_liblinear_c1,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/logreg_liblinear_c1__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
logreg_liblinear_c1,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
logreg_liblinear_c10,m2cgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
logreg_liblinear_c10,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/logreg_liblinear_c10__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
logreg_liblinear_c10,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
logreg_lbfgs_c0.1,m2cgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
logreg_lbfgs_c0.1,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/logreg_lbfgs_c0_1__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
logreg_lbfgs_c0.1,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
logreg_lbfgs_c1,m2cgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
logreg_lbfgs_c1,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/logreg_lbfgs_c1__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
logreg_lbfgs_c1,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
logreg_lbfgs_c10,m2cgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
logreg_lbfgs_c10,micromlgen,/Users/joshhuang/Documents/GitHub/67364-project-2-nba/transpile_results/run_20260409_145524/c_sources/logreg_lbfgs_c10__micromlgen.h,skipped_non_compilable_suffix,,,,,,,,,,,,,,,,
logreg_lbfgs_c10,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
linearsvc_c0.1,m2cgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
linearsvc_c0.1,micromlgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
linearsvc_c0.1,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
linearsvc_c1,m2cgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
linearsvc_c1,micromlgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
linearsvc_c1,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
linearsvc_c10,m2cgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
linearsvc_c10,micromlgen,,not_compiled_export_failed,,,,,,,,,,,,,,,,
linearsvc_c10,sklearn_porter,,not_compiled_export_failed,,,,,,,,,,,,,,,,
