GAME_ID,VISITOR_TEAM_ID,VISITOR_P1,VISITOR_P2,VISITOR_P3,VISITOR_P4,VISITOR_P5,VISITOR_P6,VISITOR_P7,VISITOR_P8,VISITOR_P9
12100001,1610612751,1630561,1630556,1628975,1628971,1627761,1630560,200794,200746,1630549
12100002,1610612755,1630198,203083,1630194,1630178,1629680,1627777,1629003,1627788,203552
12100003,1610612753,203082,1629021,1630181,1630175,1628964,1628976,1630591,203914,1630532
12100004,1610612737,203992,1629629,201568,1628381,1626153,1629027,203524,203476,1626143
12100005,1610612740,1630530,1627742,1628984,1629638,1629637,1628404,1630529,1630230,202066
12100006,1610612766,1629667,1626179,1630547,1630163,1628970,1629023,1628998,202330,203486
12100007,1610612762,1630190,1628962,1630235,1628378,1629672,1630215,1626220,1630617,201144
12100008,1610612744,1629673,1629308,201939,202357,203490,203952,202340,1626172,2738
12100009,1610612756,1630188,1626166,203901,1627846,1628990,1626163,1629013,1629661,1628969
12100010,1610612743,1630538,1629008,1628408,1628420,203932,1629626,203085,1630267,1630192
12100011,1610612754,1627734,1630537,1628470,204456,1626167,1627763,203200,203087,1629052
12100012,1610612739,1629636,1629012,1628386,1630596,1630171,201937,1626224,1628374,1630205
12100013,1610612764,1630557,1628398,203078,203915,1626149,1628988,202722,203526,1629655
12100014,1610612749,1630572,1629620,1629670,1629091,1630686,201572,203648,1629602,1626192
12100015,1610612759,1629022,1629640,1628401,203926,1630170,201152,1627751,1627854,1629234
12100016,1610612739,1629636,1630596,1629012,1628386,1630171,201937,1628374,1630205,201567
12100017,1610612753,1630591,1628976,1630175,1630532,1629021,201577,1630181,203914,202734
12100018,1610612762,1629671,1630235,1630215,1629672,1628962,1630238,1630190,1626220,203903
12100019,1610612743,1630538,1628408,1628420,1630267,203085,203932,1629626,201145,203210
12100020,1610612747,1629134,203076,1629659,1628370,201961,1630559,201599,200765,2546
12100021,1610612758,1630169,1630558,203084,1628368,1627741,1628963,202684,203090,1629056
12100022,1610612763,203500,1629630,1630533,1630217,1628991,1626145,203937,1629001,1629634
12100023,1610612761,1628384,1627832,1630567,1630551,1630173,201609,1629018,1629004,1630201
12100024,1610612748,1629639,1629130,202693,1629622,203473,200768,1630696,202710,1629644
12100025,1610612754,1627734,1627763,1626167,204456,1630537,1628470,203087,1630543,202954
12100026,1610612749,1629670,1630686,203648,1630572,1629091,1629682,1629620,1629602,203948
12100027,1610612740,1630530,1629638,202685,1628984,1628404,1630230,202066,1630184,1630529
12100028,1610612746,1629599,1629611,1628379,1628385,1630527,202331,202704,202339,1628392
12100029,1610612748,1630597,1630695,1629622,1630606,1629639,1629130,1630209,202693,1628389
12100030,1610612750,1629020,1626156,1630162,1630183,1626157,1627736,1627752,1629675,1629006
12100031,1610612747,1629134,203145,2730,201599,1628370,1629659,201961,200765,2544
12100032,1610612761,1630567,1628384,1627832,1630173,1629018,1629004,1630551,1630201,201609
12100033,1610612752,1629628,1630167,1630579,203095,202692,201959,202689,1630193,1628995
12100034,1610612737,203992,1628381,1628989,1629629,1630536,201568,203524,101150,1630552
12100035,1610612759,1628401,1627749,1630170,1628966,1629640,1629022,1627751,1629234,203926
12100036,1610612741,1628366,201942,202696,203897,1627936,1628993,1627884,1629750,1628972
12100037,1610612760,1630581,1629647,1630544,1630526,1629652,1628983,1630197,1629660,1629603
12100038,1610612756,1628969,203109,1629013,101108,1629028,1626166,1629661,1630188,201580
12100039,1610612745,1629645,1626174,1630224,1630256,1629717,1630578,1630528,1628464,203957
12100040,1610612766,1629667,1628998,1628970,1630163,1630547,1629023,202397,1630208,1628411
12100041,1610612751,201935,203925,201142,1628975,201933,201988,200794,201949,1628971
12100042,1610612765,1628367,1626168,203924,1628977,1628402,1630165,203482,202709,1630191
12100043,1610612740,1630230,1630530,1630529,1629638,202685,1630184,1628984,202066,203107
12100044,1610612758,1630558,1629002,203090,1629056,203084,1628368,1626158,1630186,203458
12100045,1610612750,1630162,1626157,1630183,1627736,1626156,1629669,1629675,1627752,1629020
12100046,1610612761,1630201,1630567,1629018,201609,1630173,1630688,203920,1629004,1630625
12100047,1610612744,2738,1626172,1627814,203952,1630541,1629308,203490,1629673,1629185
12100048,1610612742,1629029,203501,204001,1628467,1627827,203939,1628973,1628425,1626161
12100049,1610612763,1630241,1630533,1630583,1629723,1630582,1629634,1630214,1629681,1630651
12100050,1610612738,1629641,1629684,1630174,1629057,1629726,1629033,1627853,1630202,203953
12100051,1610612765,1628367,203924,1628402,1630240,1630191,203482,202709,1628977,1630691
12100052,1610612743,203999,203932,203115,1628420,1630538,1629008,1630267,1628408,201145
12100053,1610612749,201572,1628960,203114,201950,203507,1629670,201588,1630572,1626192
12100054,1610612757,203496,203468,1628372,203081,1629604,203994,1626181,1630535,1626204
12100055,1610612748,1629644,1630606,1630695,1629216,1629622,1628997,1630597,1630696,2617
12100056,1610612750,1630162,1626157,1627736,201976,1630183,1627752,1629669,1629675,1627774
12100057,1610612743,1630538,1630192,1628427,1630210,1629626,1630267,1628432,203115,204028
12100058,1610612747,203076,1630559,2544,201566,203145,2546,200765,201599,2730
12100059,1610612738,1628369,1629641,1629684,203471,203953,1626196,1627823,1629033,1630174
12100060,1610612755,1627788,1630194,1627885,1630178,1630198,1627777,203083,203552,1630565
12100061,1610612739,1630205,1629731,1629605,1627756,1630612,1630642,1626224,1630596,1630698
12100062,1610612764,1629655,1628398,203484,203915,203526,1630166,1628988,1626149,202722
12100063,1610612763,1628991,1629630,203500,1630217,203937,1630533,1629634,1629001,1626145
12100064,1610612742,1627827,1628973,1630647,1628373,1628425,1630182,203504,1628467,1630624
12100065,1610612745,1629645,1626174,1630224,1630256,1630578,1627863,1628021,1629717,201571
12100066,1610612757,203463,1628372,203468,203496,1626181,1629604,203994,1630535,1627737
12200001,1610612744,1630228,1630541,1630164,1629673,1628978,203952,203210,1626172,203110
12200003,1610612763,1631113,1630583,1631223,1631222,1630533,1631254,1629723,1631367,1629634
12200004,1610612764,1629060,1631098,1628398,203115,204001,1628420,1629655,1626153,1630648
12200005,1610612766,1630163,1626179,1629023,1626162,1630547,1629667,1630208,203486,1630550
12200006,1610612762,1629020,1628374,203482,1627736,201144,1629012,203903,200752,1629638
12200007,1610612759,1630200,1631104,1628380,1630170,1628966,1629676,1631110,1627751,1626196
12200009,1610612755,1630194,1629680,1627788,1630577,1629003,1629001,1630198,1630531,202699
12200010,1610612753,1630181,1631094,1628964,1628976,1630175,1629021,1629626,1630591,1629643
12200011,1610612760,1631114,1630581,1630544,1631172,1630526,1630197,1630598,1629647,1629026
12200012,1610612758,1631099,1630558,203084,1628368,1626158,1626168,1627734,1628370,1628989
